Lat,Long,cluster
30.8891953,75.7974485,1
30.87837,75.7874817,1
30.890519,75.8003062,1
30.8870609,75.7911832,1
30.882665,75.781533,1
30.8856311,75.7878671,1
30.8829467,75.7818992,1
30.8876836,75.7909347,1
30.8779617,75.786035,1
30.870657,75.7915463,1
30.8820233,75.7749544,1
30.8804783,75.7947271,1
30.8412694,75.775375,1
30.8833371,75.781618,1
30.883351,75.78178,1
30.885821,75.7878891,1
30.8854533,75.7880298,1
30.8859026,75.7881206,1
30.8856969,75.788248,1
30.8831479,75.7818919,1
30.885468,75.788015,1
30.8854794,75.7880777,1
30.885637,75.7882,1
30.8804783,75.7947271,1
30.8853144,75.7880639,1
30.8860261,75.7878774,1
30.8872008,75.7915258,1
30.8871429,75.7914681,1
30.8857424,75.7878282,1
30.88603,75.7878868,1
30.8856528,75.7881345,1
30.8830809,75.7816881,1
30.8860272,75.7878826,1
30.875222,75.799492,1
30.885846,75.7880076,1
30.8859184,75.7882917,1
30.8830614,75.7819269,1
30.8855131,75.7883004,1
30.8858397,75.7879464,1
30.8856989,75.7882437,1
30.8855441,75.7883719,1
30.8860375,75.7878872,1
30.8824108,75.78129,1
30.8829672,75.7815169,1
30.8854466,75.788166,1
30.8898775,75.7990529,1
30.885856,75.7879793,1
30.8859546,75.7883768,1
30.887504,75.792452,1
30.8858254,75.7884396,1
30.8829256,75.7815132,1
30.8915814,75.78736,1
30.885675,75.787843,1
30.88562,75.7883569,1
30.888544,75.7958688,1
30.8890448,75.7962482,1
30.8890213,75.7963041,1
30.8854718,75.7882016,1
30.885873,75.7884331,1
30.8857068,75.78783,1
30.8831927,75.7815208,1
30.8855621,75.7882093,1
30.8856856,75.7883477,1
30.8856856,75.7883477,1
30.885637,75.7882001,1
30.8856971,75.7881546,1
30.8856122,75.7883903,1
30.8857672,75.7884263,1
30.8822816,75.7763874,1
30.885979,75.7882979,1
30.8831444,75.7818992,1
30.8855749,75.787939,1
30.8840124,75.7713073,1
30.8834608,75.7719809,1
30.8830598,75.7819337,1
30.882018,75.775444,1
30.883342,75.781821,1
30.882814,75.78182,1
30.8828689,75.7815117,1
30.883006,75.7819322,1
30.8827393,75.7819534,1
30.8829792,75.7815018,1
30.8825474,75.7819542,1
30.883103,75.7819219,1
30.8832111,75.7818011,1
30.882922,75.7815491,1
30.8827994,75.7816607,1
30.8831418,75.7818765,1
30.8828643,75.78151,1
30.88316,75.781594,1
30.8825711,75.7818894,1
30.8828036,75.7815018,1
30.883274,75.7816639,1
30.8832396,75.7818853,1
30.868903,75.757116,1
30.885259,75.777274,1
30.8855791,75.7773373,1
30.880238,75.782668,1
30.883038,75.7815532,1
30.8829186,75.7818966,1
30.8829904,75.7819259,1
30.8832478,75.7815472,1
30.883106,75.781761,1
30.8833407,75.7815926,1
